LU,YR_BUILT,GROSS_TAX
R2,1900,722701
R2,1920,573361
R2,1920,563615
R1,1950,343954
R2,1945,546113
R1,1950,603753
RL,0,45169
R2,1910,562147
RL,0,18026
RL,0,18026
R2,1910,504403
R2,1910,512053
R2,1920,503145
R2,1910,519179
R2,1915,532908
RL,0,14043
R2,1920,576190
R2,1920,552506
R2,1910,478726
R2,1910,523476
R1,1915,329701
RL,0,51142
R1,1930,327920
R2,1910,509433
RC,1899,826358
R3,1910,656991
R3,1910,669253
R3,1910,562566
R3,1910,610565
R3,1910,541292
RL,0,22951
R3,1910,668205
CM,1910,0
CD,2016,397716
CD,2016,365962
CD,2016,411550
CM,1999,0
CD,1930,246070
CD,1930,256550
CD,1930,310313
CD,1930,307692
R1,1910,309789
R2,1910,556488
R2,1910,459967
R1,1915,297213
R3,1910,685916
R3,1920,724483
R2,1910,585832
CM,1910,0
CD,1910,278349
CD,1910,282122
CD,1910,295955
R3,1910,746490
R3,1900,591491
R3,1910,530602
R2,1920,523162
CM,1900,0
CD,1900,338295
CD,1900,360826
R2,1910,663699
RL,0,36156
R1,1930,382310
R1,1920,498744
R2,1940,575666
R1,1940,452946
R2,1924,548838
R2,1911,557222
R2,1924,572418
R1,1960,390590
R1,1900,432824
RL,0,13834
R3,1910,616958
E,0,0
C,1955,3908520
C,1955,15428700
C,1960,1333080
C,1940,1547280
C,1979,1343160
R1,1950,452422
R2,1925,523991
R2,1900,455146
R2,1920,524524
R2,1965,590129
R2,1920,522218
R3,1960,740936
R2,1910,592540
R1,1960,518446
R2,1945,542236
R3,1900,614443
R3,1920,582059
R3,1910,672816
R3,1920,615805
R3,1918,625970
R3,1918,632364
R3,1916,570951
R3,1900,521904
R3,1900,647769
R3,1912,582898
CM,1900,0
CD,1900,375813
CD,1900,406100
CD,1900,402956
R2,1900,444562
R2,1900,552506
R1,1900,393839
R3,1900,556803
R3,1900,680781
R3,1900,598828
R3,1900,689689
R1,1910,429576
R2,1910,490988
E,0,0
E,0,0
E,0,0
E,1899,0
E,1899,0
E,1899,0
E,0,0
C,,245700
C,1938,1106028
I,1940,3316202
I,1940,3316202
CL,0,172474
I,1970,3044425
CM,1999,0
CM,1999,0
CM,1999,0
E,1982,0
CD,1982,291449
CD,1982,304025
CD,1982,301405
CD,1982,311361
CD,1982,345945
CD,1982,279711
CD,1982,286628
CD,1982,284532
CD,1982,299938
CD,1982,289458
CD,1982,298890
CD,1982,272061
CD,1982,291449
CD,1982,311361
CD,1982,301405
CD,1982,311361
E,1982,0
CD,1982,279711
CD,1982,286628
CD,1982,289458
CD,1982,269231
CD,1982,289458
CD,1982,298890
CD,1982,291449
CD,1982,298366
CD,1982,301405
CD,1982,311361
CD,1982,307064
CD,1982,311361
CD,1982,292288
CD,1982,279711
CD,1982,290401
CD,1982,289458
CD,1982,298890
CD,1982,289458
C,1940,1538460
E,0,0
E,0,0
R2,1899,480298
R2,1926,566654
R1,1910,416895
R2,1910,583212
R1,1910,470867
R2,1902,524629
R1,1910,464474
R1,1920,593588
R2,1929,581535
R3,1920,615490
R1,1922,623351
R3,1910,807484
R1,1910,530708
R1,1895,524629
R3,1910,762211
R1,1900,416895
R2,1910,737583
R3,1920,675331
R2,1920,607002
R2,1910,656572
R1,1949,471600
R1,1940,483128
R1,1930,501641
RL,0,2201
R3,1960,691680
R1,1915,581535
R3,1920,702474
R2,1915,690004
R2,1962,487634
R2,1910,592435
R3,1910,648608
R2,1931,744814
R3,1900,711173
R2,1920,586985
R2,1920,590129
R2,1915,584156
R3,1915,686860
R2,1915,688746
R2,1927,534795
R2,1920,745128
R2,1920,583002
R2,1920,602810
R1,1940,583212
R2,1940,538358
R2,1930,578077
R2,1934,592959
R2,1915,583002
R1,1933,344059
R2,1930,524524
RL,0,40034
R1,1937,410712
R3,1925,883674
R2,1930,644416
R2,1915,579020
R1,1958,403376
R1,1918,680572
R1,1920,438588
R1,1920,562148
R1,1925,452108
RL,0,58583
R1,1932,579754
R2,1995,614548
R1,1915,512263
R1,1919,444457
R2,1930,631106
R2,1930,618635
R3,1915,617586
R2,1945,452736
